_id,category,subCategory,image,brand,price,description,discount,quantity,__v
6244a40412e1426828052ee5,Food,drinks,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Fooddrinkssprite%2Fimage?alt=media&token=71e17890-0129-4e23-b755-ebb5cebfe011,sprite,40,sprite,10,278,0
6244a5bc12e142682805348a,Beauty,face creams,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Beautyface%20creamsfair%20and%20handsome%2Fimage?alt=media&token=389a7eda-b8a5-4b7d-b574-97b1228cb654,fair and handsome,50,Fair and handsome cream,10,11,0
6244a6dd12e1426828053f9b,Beauty,face wash,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Beautyface%20washNivea%20men%2Fimage?alt=media&token=76b9e6e3-b8d8-4fa2-ac00-b070e9e66111,Nivea men,100,nivea men cream,20,18,0
6244a7a212e1426828054afa,Beauty,perfumes,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Beautyperfumesaxe%2Fimage?alt=media&token=8c680d62-d000-412e-9f63-5d64ef46cdc2,axe,200,axe perfume,20,18,0
6244a86812e1426828055bf3,Beauty,lip sticks,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Beautylip%20stickscolors%20queen%20%2Fimage?alt=media&token=e39a8641-3417-4378-bc56-b6a4e0566722,colors queen ,20,lip stick,0,197,0
6244a8d912e14268280565da,Beauty,body lotions,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Beautybody%20lotionsvaseline%2Fimage?alt=media&token=cd6c6630-be4c-4509-9bc2-c436257ef026,vaseline,50,vaseline body lotion,20,17,0
6244a96912e142682805728b,Beauty,face creams,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Beautyface%20creamsfair%20and%20lovely%2Fimage?alt=media&token=7b63a64a-c1dc-4d6b-b345-1febcfce9e91,fair and lovely,90,fair and lovely face cream,20,27,0
6244ab5412e1426828058716,sports,shuttle bat,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/sportsshuttle%20batyonex%2Fimage?alt=media&token=aab88fec-232a-4848-86c8-53c85d5ae7ef,yonex,1000,yonex badminton bat,20,8,0
6244abd012e1426828058bc6,sports,shuttle bat,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/sportsshuttle%20batMavis%20%2Fimage?alt=media&token=dbcaed24-4792-425e-8f5d-98294802749a,Mavis ,600,mavis 200i,15,14,0
6244ac7812e1426828059664,sports,chess,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/sportschesschess%20board%2Fimage?alt=media&token=bf308552-94af-4699-b94e-21f83187693f,chess board,200,chess board,15,9,0
6244ace612e1426828059fa1,sports,carroms,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/sportscarromscarrom%20board%2Fimage?alt=media&token=bdd288e4-ed6a-43f6-a270-157bbe0e75e1,synco carrom board,800,synco carrom board,5,4,0
6244ad8f12e142682805ae85,sports,foot ball,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/sportsfoot%20ballNivia%2Fimage?alt=media&token=ed296b04-4191-499c-8369-fe1a4f05eb43,Nivia,600,Nivia foot ball,5,3,0
6244ae3412e142682805bcd3,sports,cricket,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/sportscricketNike%2Fimage?alt=media&token=eaf5c15e-4e6a-43f0-802d-d8a792f8ec31,Nike,2000,Nike cricket bat,10,9,0
6244afa512e142682805d7f4,Grocery,kitchen,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/GrocerykitchenVim%20%2Fimage?alt=media&token=4dfa793f-655b-464a-a895-83479aff39e1,Vim ,80,vim,15,50,0
6245499faf7ce675dfe6f68a,Beauty,face wash,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Beautyface%20washGarnier%2Fimage?alt=media&token=2bdc5ff8-16bb-4197-8c08-f43286d8b39c,Garnier,150,garnier ,20,49,0
6246a7bf1a41c72588a6ab73,Food,drinks,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/FooddrinksRed%20bull%2Fimage?alt=media&token=a47f8c3d-1beb-4865-91f1-1973664366eb,Red bull,140,red bull ,15,168,0
624b4a7385bbd290a313d9a3,Food,chocolates,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Foodchocolatesfive%20star%2Fimage?alt=media&token=4dbc9bf6-2158-44a7-9ff5-efc223c4fb1b,five star,20,five star,50,84,0
624c154ff173ffbc862e05d8,Food,chocolates,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Foodchocolatesdairy%20milk%2Fimage?alt=media&token=19bc48fa-1eee-4650-ad17-9b8cfc48393d,dairy milk,40,fourty,40,17,0
624c1886f173ffbc862e070c,Food,jams,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Foodjamskisan%20jam%2Fimage?alt=media&token=3fccd543-84c7-4810-8e60-b69325b35d13,kisan jam,200,kisan jam,10,35,0
624c1916f173ffbc862e0717,Food,biscuites,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Foodbiscuiteshide%20and%20seek%2Fimage?alt=media&token=2d4508d5-a7fe-4f3f-bf0b-1db1a842b1d8,hide and seek,50,hide and seek biscuites,10,298,0
624c194ff173ffbc862e0785,Food,drinks,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Fooddrinksmountain%20dew%2Fimage?alt=media&token=e5776a55-708a-4035-b5f7-5ab0b32fe446,mountain dew,30,mountain dew,0,99,0
624c19d5f173ffbc862e088c,sports,cricket,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/sportscricketseven%20sports%20%2Fimage?alt=media&token=df763900-7c51-4d46-9105-808b8e155966,seven sports ,100,seven sports cricket ball ,10,98,0
624c1aa3f173ffbc862e08b4,grocery,Coffee and tea powders,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/groceryCoffee%20and%20tea%20powdersred%20label%2Fimage?alt=media&token=7fbbf096-218c-44fc-981c-76659c405903,red label,200,red label coffee powder,20,49,0
